source	article_date	title	status	processed_at	raw_path	note
李翔商业内参	2016-05-26	2016年5月26日两则观点摘录	read	2026-08-19	raw/articles/2026-08-19-李翔商业内参-20160526-两则观点摘录.md	已摄入 Wiki
李翔商业内参	2017-04-08	要以胜利为中心，而不是以省钱为中心	ingested	2026-08-26	raw/articles/20170408-要以胜利为中心 ，而不是以省钱为中心.md	已摄入 Winning_Feedback_and_Day1_Organization
李翔商业内参	2017-04-10	做硬件和软件的不同	read	2026-08-21	raw/articles/20170410-做硬件和软件的不同.md	已摄入 Wiki
李翔商业内参	2017-04-11	被夸大的失败经验和失败学习	ingested	2026-08-26	raw/articles/20170411-被夸大的失败经验和失败学习.md	已摄入 Winning_Feedback_and_Day1_Organization
李翔商业内参	2017-04-13	最顶尖的特种部队如何运行	read	2026-08-21	raw/articles/20170413-最顶尖的特种部队如何运行.md	已摄入 Wiki
李翔商业内参	2017-04-14	Day 1公司和Day 2公司	ingested	2026-08-26	raw/articles/20170414-day1公司和day2公司.md	已摄入 Winning_Feedback_and_Day1_Organization
李翔商业内参	2017-04-17	线下店的角色	read	2026-08-21	raw/articles/20170417-线下角色.md	已摄入 Wiki
李翔商业内参	2017-04-18	一种思考方式：现象问题与基本问题	read	2026-08-21	raw/articles/20170418-一种思考方式： 现象问题与基本问题.md	已摄入 Wiki
李翔商业内参	2017-04-20	新时代网红六步法则	read	2026-08-21	raw/articles/20170420-新时代网红六步法则.md	已摄入 Wiki
李翔商业内参	2017-04-21	见闻：一次拜访苹果公司的经历	read	2026-08-21	raw/articles/20170421-见闻一次拜访苹果公司的经理.md	已摄入 Wiki
李翔商业内参	2017-04-22	在工作环境上采取弃权政策是一个错误	read	2026-08-21	raw/articles/20170422-在工作环境上采取弃权政策是一个错误.md	已摄入 Wiki
李翔商业内参	2017-04-24	张瑞敏的读书方法和书单	read	2026-08-21	raw/articles/20170424-张瑞敏的读书方法和书单.md	已摄入 Wiki
李翔商业内参	2017-04-25	蚂蚁金服的信用梦想和监管机构的冷水浇头	read	2026-08-21	raw/articles/20170425-蚂蚁金服的信用梦想和监管机构的冷水浇头.md	已摄入 Wiki
李翔商业内参	2017-04-27	维护品牌，而不是盲目去做新产品	read	2026-08-21	raw/articles/20170427-维护品牌而不是盲目去做新产品.md	已摄入 Wiki
李翔商业内参	2017-05-06	如果想干 你会找到一个办法，如果不想干你会找一个理由	read	2026-08-26	raw/articles/20170506-如果想干 你会找到一个办法，如果不想干你会找一个理由.md	已结构化解读，尚未摄入 Wiki
李翔商业内参	2017-05-08	不要太相信大人，也不要太相信科技	read	2026-08-26	raw/articles/20170508-不要太相信大人，也不要太相信科技.md	已结构化解读，尚未摄入 Wiki
李翔商业内参	2017-05-09	雷军是如何挖人的	read	2026-08-21	raw/articles/20170509-雷军是如何挖人的.md	已摄入 Wiki
李翔商业内参	2017-05-10	京东线下模式的三个特点	read	2026-08-26	raw/articles/20170510-京东线下模式的三个特点.md	已结构化解读，尚未摄入 Wiki
李翔商业内参	2017-05-11	记者之王的报道方法论	read	2026-08-21	raw/articles/20170511-记者之王的报道方法论.md	已摄入 Wiki
李翔商业内参	2017-05-13	经营就是与矛盾斗争	read	2026-08-21	raw/articles/20170513-经营就是与矛盾斗争.md	已摄入 Wiki
李翔商业内参	2017-05-16	阿里巴巴内部的批评文化	read	2026-08-21	raw/articles/20170516-阿里巴巴内部的批评文化.md	已摄入 Wiki
李翔商业内参	2017-05-18	优秀产品经理的特质	read	2026-08-21	raw/articles/20170518-优秀产品经理的特质.md	已摄入 Wiki
李翔商业内参	2017-05-25	比尔盖茨的人生建议	read	2026-08-21	raw/articles/20170525-比尔盖茨的人生建议.md	已摄入 Wiki
